Issue key,Summary,Description,Status,Priority,Severity,Component/s,Reporter,Assignee,Created,Resolved,Resolution,Labels,Issue Type,_true_label
PROJ-2004,Multi-select filter loses state when navigating back from detail page,"Steps to reproduce:
1. Navigate to Dashboard
2. Perform the action described
3. Observe incorrect behavior

Expected: Feature works correctly
Actual: Feature fails as described in summary

Environment: Chrome 120, Windows 11",Resolved,Minor,Critical,Dashboard,bob.smith,eve.davis,2025-03-22T23:00:00,2025-03-27T00:00:00,Won't Fix,,Bug,valid
PROJ-2070,Dropdown menu clips behind adjacent card component,"Found during regression testing of Search.

The issue occurs consistently and impacts user workflow. Screenshots attached.

Browser: Firefox 121
OS: macOS Sonoma",Resolved,Minor,Trivial,Search,carol.williams,bob.smith,2025-03-14T12:00:00,,,"regression,ui",Bug,valid
PROJ-2023,Long file names overflow attachment chip component in message thread,"Steps to reproduce:
1. Navigate to Settings
2. Perform the action described
3. Observe incorrect behavior

Expected: Feature works correctly
Actual: Feature fails as described in summary

Environment: Chrome 120, Windows 11",Reopened,Major,Minor,Settings,alice.johnson,frank.miller,2025-03-13T07:00:00,2025-03-26T00:00:00,Fixed,"regression,critical",Bug,valid
PROJ-2040,Table sort on numeric column treats values as strings,"Found during regression testing of Settings.

The issue occurs consistently and impacts user workflow. Screenshots attached.

Browser: Firefox 121
OS: macOS Sonoma",Closed,Minor,Critical,Settings,bob.smith,alice.johnson,2025-03-09T22:00:00,2025-04-10T00:00:00,,"regression,ui",Bug,valid
PROJ-2020,Email template engine crashes on nested conditional blocks,"Reproducible 100% of the time.

Steps:
1. Log in as any user
2. Go to User Management
3. Trigger the issue

This blocks QA testing for the current sprint.",Closed,Minor,Trivial,User Management,carol.williams,bob.smith,2025-03-19T11:00:00,2025-04-06T00:00:00,,"regression,backend",Bug,valid
PROJ-2087,Title case in menu items feels inconsistent with sentence case elsewhere,I think this might be an issue but I'm not sure. It happened once and I couldn't reproduce it.,Reopened,Trivial,Minor,Notifications,frank.miller,,2025-03-11T22:00:00,,,question,Bug,invalid
PROJ-2007,Background image in hero section causes layout shift on initial paint,"Found during regression testing of File Upload.

The issue occurs consistently and impacts user workflow. Screenshots attached.

Browser: Firefox 121
OS: macOS Sonoma",Closed,Trivial,Major,File Upload,dave.brown,eve.davis,2025-03-09T08:00:00,,,"regression,backend",Bug,valid
PROJ-2011,Environment variable secrets logged in plain text during startup,"Reproducible 100% of the time.

Steps:
1. Log in as any user
2. Go to API Gateway
3. Trigger the issue

This blocks QA testing for the current sprint.",Reopened,Critical,Critical,API Gateway,frank.miller,alice.johnson,2025-03-13T06:00:00,2025-04-12T00:00:00,,regression,Bug,valid
PROJ-2065,Bar chart Y-axis label collides with large tick values,"Found during regression testing of Dashboard.

The issue occurs consistently and impacts user workflow. Screenshots attached.

Browser: Firefox 121
OS: macOS Sonoma",Closed,Minor,Major,Dashboard,alice.johnson,alice.johnson,2025-03-05T09:00:00,2025-04-12T00:00:00,,,Bug,valid
PROJ-2091,Background job scheduler skips runs after server clock adjustment,"Steps to reproduce:
1. Navigate to Dashboard
2. Perform the action described
3. Observe incorrect behavior

Expected: Feature works correctly
Actual: Feature fails as described in summary

Environment

(Similar issue observed independently)",Resolved,Trivial,Major,Dashboard,carol.williams,,2025-03-19T15:00:00,,Duplicate,duplicate,Bug,duplicate
PROJ-2034,Inline code block styling lost when content pasted from Word,"Reproducible 100% of the time.

Steps:
1. Log in as any user
2. Go to Notifications
3. Trigger the issue

This blocks QA testing for the current sprint.",In Progress,Minor,Critical,Notifications,frank.miller,carol.williams,2025-03-12T14:00:00,,,"regression,ui",Bug,valid
PROJ-2006,Kanban board drag handle unresponsive on touch devices,"Steps to reproduce:
1. Navigate to API Gateway
2. Perform the action described
3. Observe incorrect behavior

Expected: Feature works correctly
Actual: Feature fails as described in summary

Environment: Chrome 120, Windows 11",Reopened,Major,Trivial,API Gateway,carol.williams,bob.smith,2025-03-16T21:00:00,2025-04-09T00:00:00,,"regression,backend",Bug,valid
PROJ-2017,Password complexity rules not enforced on API-created accounts,"Reproducible 100% of the time.

Steps:
1. Log in as any user
2. Go to Notifications
3. Trigger the issue

This blocks QA testing for the current sprint.",Reopened,Major,Trivial,Notifications,alice.johnson,carol.williams,2025-03-06T20:00:00,,Won't Fix,regression,Bug,valid
PROJ-2075,Would be nice to have a global undo action,Saw this on my personal device. Not sure if it's related to my setup or the application.,In Progress,Minor,Minor,Reports,bob.smith,,2025-03-22T10:00:00,,,needs-triage,Bug,invalid
PROJ-2072,Icons look pixelated on my high-DPI external monitor,Saw this on my personal device. Not sure if it's related to my setup or the application.,Open,Trivial,Trivial,Reports,bob.smith,,2025-03-07T17:00:00,,,question,Bug,invalid
PROJ-2046,Currency conversion uses stale exchange rates,"Reproducible 100% of the time.

Steps:
1. Log in as any user
2. Go to Search
3. Trigger the issue

This blocks QA testing for the current sprint.",In Progress,Minor,Minor,Search,eve.davis,eve.davis,2025-03-16T21:00:00,2025-04-03T00:00:00,,"regression,ui",Bug,valid
PROJ-2028,Recursive folder move endpoint allows circular reference,"Reproducible 100% of the time.

Steps:
1. Log in as any user
2. Go to Payment
3. Trigger the issue

This blocks QA testing for the current sprint.",Closed,Minor,Minor,Payment,carol.williams,bob.smith,2025-03-22T20:00:00,2025-03-30T00:00:00,,,Bug,valid
PROJ-2044,Dashboard auto-refresh interval doubles after each browser tab switch,"Steps to reproduce:
1. Navigate to Reports
2. Perform the action described
3. Observe incorrect behavior

Expected: Feature works correctly
Actual: Feature fails as described in summary

Environment: Chrome 120, Windows 11",Reopened,Trivial,Critical,Reports,frank.miller,bob.smith,2025-03-05T14:00:00,2025-03-30T00:00:00,,"regression,ui",Bug,valid
PROJ-2015,Settings page crashes when timezone is changed,"Reproducible 100% of the time.

Steps:
1. Log in as any user
2. Go to Payment
3. Trigger the issue

This blocks QA testing for the current sprint.",In Progress,Minor,Critical,Payment,carol.williams,eve.davis,2025-03-15T04:00:00,,Won't Fix,"regression,ui",Bug,valid
PROJ-2003,Drag and drop file upload breaks on Safari,"Found during regression testing of Search.

The issue occurs consistently and impacts user workflow. Screenshots attached.

Browser: Firefox 121
OS: macOS Sonoma",Resolved,Critical,Minor,Search,alice.johnson,bob.smith,2025-03-11T10:00:00,2025-04-10T00:00:00,Fixed,"regression,ui",Bug,valid
PROJ-2069,Autocomplete search shows deleted items,"Steps to reproduce:
1. Navigate to File Upload
2. Perform the action described
3. Observe incorrect behavior

Expected: Feature works correctly
Actual: Feature fails as described in summary

Environment: Chrome 120, Windows 11",Closed,Major,Critical,File Upload,frank.miller,eve.davis,2025-03-23T23:00:00,2025-04-08T00:00:00,,regression,Bug,valid
